zipcode,ad_season,avg_profit,median_profit
98109,fall,73029.81818181816,75840.0
98109,spring,98032.75,98536.0
98109,summer,99243.55555555556,101880.0
98109,winter,101589.99999999999,97680.0
98112,fall,88753.28823529405,91121.79999999993
98112,spring,88568.68191499994,87098.72499999992
98112,summer,93656.50699999993,93769.8999999999
98112,winter,90734.06513333328,95059.86419999995
98115,fall,42808.42500000004,44125.12500000006
98115,spring,45019.440606060634,45714.28500000003
98115,summer,42853.958500000044,42203.75000000006
98115,winter,41310.959000000046,41348.75000000006
98116,fall,50550.904567741985,50572.80000000005
98116,spring,55575.525192452864,56448.0
98116,summer,51502.15384615389,50803.20000000004
98116,winter,51740.98285714289,48960.00000000006
98117,fall,41790.287457627164,42750.00000000006
98117,spring,42103.07271739135,43700.00000000006
98117,summer,41214.071666666714,42147.93750000006
98117,winter,42660.072424242455,43700.00000000006
98118,fall,26025.22978723405,26600.0
98118,spring,30401.52243589746,31231.25
98118,summer,25699.645161290337,26362.5
98118,winter,24783.315000000013,24700.0
98119,fall,97259.59999999998,98640.0
98119,spring,103068.08571428568,102480.0
98119,summer,86113.22857142855,86400.0
98119,winter,87426.44999999998,92760.0
98122,fall,51081.77454545459,50112.00000000006
98122,spring,53658.31680000005,53452.80000000005
98122,summer,50695.59771428575,52646.40000000005
98122,winter,51790.73684210531,51629.76000000007
98125,fall,41235.10468085111,43200.00000000006
98125,spring,39928.73088000004,39971.52000000005
98125,summer,40830.964363636405,42618.24000000005
98125,winter,39603.886305882406,40262.40000000005
98126,fall,35760.256000000045,36864.00000000006
98126,spring,36637.74489600004,38995.20000000004
98126,summer,34919.84132830192,35712.00000000006
98126,winter,37164.89739130438,38592.00000000006
98133,fall,28268.7601724138,28975.0
98133,spring,30995.874662162194,31344.39500000002
98133,summer,29364.71484615386,29450.0
98133,winter,29801.553023255838,30210.0
98136,fall,50379.52886206892,50245.99999999994
98136,spring,54404.55247499995,54319.99999999994
98136,summer,50627.74888888885,51264.49999999994
98136,winter,58163.19658333329,59276.69999999995
98144,fall,39247.744000000035,40032.00000000003
98144,spring,42551.944457142905,43660.80000000005
98144,summer,43809.590400000045,43776.00000000006
98144,winter,42132.14107826092,42048.00000000006
98146,fall,27554.668749999983,29061.199999999968
98146,spring,35605.595999999976,37378.94999999998
98146,summer,28608.881538461523,30554.99999999997
98146,winter,26816.862499999985,28653.79999999999
98148,fall,31023.99999999998,30559.99999999997
98148,spring,33615.999999999985,35551.99999999997
98148,summer,40337.77777777778,41600.0
98148,winter,42840.0,42840.0
98155,fall,28820.780454545467,29450.0
98155,spring,29861.017500000027,31350.0
98155,summer,28116.10500000001,28495.01250000001
98155,winter,31113.90182926831,30875.0
98166,fall,34748.19697391302,35647.5
98166,spring,39306.567343749964,37684.5
98166,summer,42374.0153351351,44128.20999999996
98166,winter,40076.66923076919,41283.19999999995
98168,fall,26914.554074074054,27567.399999999994
98168,spring,24869.56324999998,27156.60499999998
98168,summer,25628.377759999978,27153.209999999992
98168,winter,26198.406666666648,25801.99999999997
98177,fall,54534.81548148144,52955.20999999996
98177,spring,62465.16417647054,64097.59999999998
98177,summer,56307.52999999996,56968.09999999995
98177,winter,57841.689591304304,59208.79999999993
98178,fall,29752.697372222203,30344.50999999998
98178,spring,30422.71845454543,31166.099999999977
98178,summer,29263.052405263137,29736.80499999998
98178,winter,27895.72866315788,28789.599999999977
98188,fall,35814.64615384614,38240.0
98188,spring,34764.78476190475,37920.0
98188,summer,34267.76470588235,36800.0
98188,winter,33300.53333333332,34799.99999999997
98198,fall,28141.562399999984,29332.79999999999
98198,spring,27945.48417499998,28517.99999999997
98198,summer,29099.787073170708,29468.599999999977
98198,winter,28661.923749999984,27903.504999999976
98199,fall,56809.97052631583,58792.320000000065
98199,spring,63535.24356923084,64961.280000000086
98199,summer,63336.10422857149,61632.0
98199,winter,57793.14432000006,62208.0
